source,target,weight
acetaminophen,hydrocodone,1
acetaminophen,oxycodone,1
acetaminophen,sound,1
alprazolam,diazepam,1
alprazolam,lsd,1
alprazolam,sound,1
amanita,lsd,1
amanita,psilocybin,1
amanita,salvia,1
amanita,sound,1
amphetamine,atropine,1
amphetamine,caffeine,1
amphetamine,cannabinoid,1
amphetamine,cannabis,1
amphetamine,cocaine,1
amphetamine,diazepam,1
amphetamine,dmt,1
amphetamine,dxm,1
amphetamine,ethanol,1
amphetamine,heroin,1
amphetamine,hyoscine,1
amphetamine,hyoscyamine,1
amphetamine,lsa,1
amphetamine,lsd,1
amphetamine,maoi,1
amphetamine,mdma,1
amphetamine,psilocybin,1
amphetamine,salvia,1
amphetamine,sound,1
amphetamine,theobromine,1
amphetamine,theophylline,1
anadenanthera,dmt,1
atropine,ayahuasca,1
atropine,caffeine,1
atropine,cannabis,1
atropine,cocaine,1
atropine,diazepam,1
atropine,dmt,1
atropine,dxm,1
atropine,ethanol,1
atropine,harmaline,1
atropine,lsa,1
atropine,lsd,1
atropine,mdma,1
atropine,methaqualone,1
atropine,psilocybin,1
atropine,salvia,1
atropine,sound,1
ayahuasca,caffeine,1
ayahuasca,cannabis,1
ayahuasca,diazepam,1
ayahuasca,dmt,1
ayahuasca,ethanol,1
ayahuasca,harmaline,1
ayahuasca,hyoscine,1
ayahuasca,hyoscyamine,1
ayahuasca,lsd,1
ayahuasca,maoi,1
ayahuasca,mdma,1
ayahuasca,mimosa,1
ayahuasca,psilocybin,1
ayahuasca,salvia,1
ayahuasca,sound,1
caffeine,cannabinoid,1
caffeine,cannabis,1
caffeine,cocaine,1
caffeine,codeine,1
caffeine,diazepam,1
caffeine,dmt,1
caffeine,dxm,1
caffeine,ethanol,1
caffeine,harmaline,1
caffeine,heroin,1
caffeine,hyoscine,1
caffeine,hyoscyamine,1
caffeine,lsa,1
caffeine,lsd,1
caffeine,maoi,1
caffeine,mdma,1
caffeine,methaqualone,1
caffeine,nicotine,1
caffeine,poppy,1
caffeine,psilocybin,1
caffeine,salvia,1
caffeine,sound,1
cannabinoid,cannabis,1
cannabinoid,cocaine,1
cannabinoid,diazepam,1
cannabinoid,dmt,1
cannabinoid,ethanol,1
cannabinoid,lsd,1
cannabinoid,mdma,1
cannabinoid,salvia,1
cannabinoid,sound,1
cannabis,cocaine,1
cannabis,diazepam,1
cannabis,dmt,1
cannabis,dxm,1
cannabis,ethanol,1
cannabis,harmaline,1
cannabis,heroin,1
cannabis,hyoscine,1
cannabis,hyoscyamine,1
cannabis,lsa,1
cannabis,lsd,1
cannabis,maoi,1
cannabis,mdma,1
cannabis,psilocybin,1
cannabis,salvia,1
cannabis,sound,1
cocaine,diazepam,1
cocaine,dmt,1
cocaine,dxm,1
cocaine,ethanol,1
cocaine,heroin,1
cocaine,hyoscine,1
cocaine,hyoscyamine,1
cocaine,lsd,1
cocaine,mdma,1
cocaine,methamphetamine,1
cocaine,nicotine,1
cocaine,psilocybin,1
cocaine,salvia,1
cocaine,sound,1
cocaine,theobromine,1
cocaine,theophylline,1
codeine,heroin,1
codeine,hydrocodone,1
codeine,lsd,1
codeine,poppy,1
codeine,sound,1
diazepam,dmt,1
diazepam,dxm,1
diazepam,ethanol,1
diazepam,harmaline,1
diazepam,heroin,1
diazepam,hyoscine,1
diazepam,hyoscyamine,1
diazepam,lsa,1
diazepam,lsd,1
diazepam,mdma,1
diazepam,methaqualone,1
diazepam,poppy,1
diazepam,psilocybin,1
diazepam,salvia,1
diazepam,sound,1
diazepam,theobromine,1
diazepam,theophylline,1
diphenhydramine,dxm,1
diphenhydramine,sound,1
dmt,dxm,1
dmt,ethanol,1
dmt,harmaline,1
dmt,hyoscine,1
dmt,hyoscyamine,1
dmt,lsa,1
dmt,lsd,1
dmt,maoi,1
dmt,mdma,1
dmt,methaqualone,1
dmt,nicotine,1
dmt,psilocybin,1
dmt,salvia,1
dmt,sound,1
dxm,ethanol,1
dxm,heroin,1
dxm,hyoscine,1
dxm,hyoscyamine,1
dxm,lsa,1
dxm,lsd,1
dxm,mdma,1
dxm,psilocybin,1
dxm,salvia,1
dxm,sound,1
ephedrine,sound,1
ethanol,ether,1
ethanol,harmaline,1
ethanol,heroin,1
ethanol,hyoscine,1
ethanol,hyoscyamine,1
ethanol,lsa,1
ethanol,lsd,1
ethanol,maoi,1
ethanol,mdma,1
ethanol,methaqualone,1
ethanol,psilocybin,1
ethanol,salvia,1
ethanol,sound,1
ethanol,theobromine,1
ethanol,theophylline,1
ether,lsd,1
ether,sound,1
ghb,lsd,1
ghb,sound,1
harmaline,lsd,1
harmaline,maoi,1
harmaline,mimosa,1
harmaline,psilocybin,1
harmaline,salvia,1
harmaline,sound,1
heroin,hydrocodone,1
heroin,lsd,1
heroin,mdma,1
heroin,oxycodone,1
heroin,poppy,1
heroin,sound,1
hydrocodone,lsd,1
hydrocodone,oxycodone,1
hydrocodone,sound,1
hyoscine,lsa,1
hyoscine,lsd,1
hyoscine,mdma,1
hyoscine,methaqualone,1
hyoscine,psilocybin,1
hyoscine,salvia,1
hyoscine,sound,1
hyoscyamine,lsa,1
hyoscyamine,lsd,1
hyoscyamine,mdma,1
hyoscyamine,methaqualone,1
hyoscyamine,psilocybin,1
hyoscyamine,salvia,1
hyoscyamine,sound,1
lsa,lsd,1
lsa,mdma,1
lsa,psilocybin,1
lsa,salvia,1
lsa,sound,1
lsd,maoi,1
lsd,methaqualone,1
lsd,nicotine,1
lsd,poppy,1
lsd,salvia,1
lsd,sound,1
maoi,mdma,1
maoi,mimosa,1
maoi,psilocybin,1
maoi,salvia,1
maoi,sound,1
mdma,methamphetamine,1
mdma,psilocybin,1
mdma,salvia,1
mdma,sound,1
mdma,theobromine,1
mdma,theophylline,1
methamphetamine,sound,1
methaqualone,sound,1
mimosa,sound,1
nicotine,salvia,1
nicotine,sound,1
oxycodone,sound,1
oxygen,sound,1
peyote,sound,1
poppy,sound,1
psilocybin,salvia,1
psilocybin,sound,1
salvia,sound,1
salvia,theobromine,1
salvia,theophylline,1
salvia,thujone,1
